,currency,discount,ean,endTime,lastUpdate,newPrice,originalPrice,percentDiscount,startTime,stock,stockUnit,store brand,store name,store id
5712580297071,DKK,19.95,5712580297071,2020-04-21T21:59:59.000Z,2020-04-17T13:58:18.000Z,15,34.95,57.08,2020-04-17T13:57:54.000Z,1,each,foetex,føtex Ndr. Fasanvej,de063c86-ef9b-4ab0-a855-9cee522e02ba
5712580297149,DKK,6.95,5712580297149,2020-04-24T21:59:59.000Z,2020-04-17T15:04:57.000Z,5,11.95,58.16,2020-04-17T15:04:33.000Z,3,each,foetex,føtex Ndr. Fasanvej,de063c86-ef9b-4ab0-a855-9cee522e02ba
5712580282916,DKK,7.95,5712580282916,2020-06-06T21:59:59.000Z,2020-04-17T16:16:32.000Z,5,12.95,61.39,2020-04-08T16:43:45.000Z,2,each,foetex,føtex Ndr. Fasanvej,de063c86-ef9b-4ab0-a855-9cee522e02ba
5712580295633,DKK,0.5,5712580295633,2020-06-14T21:59:59.000Z,2020-04-17T17:01:43.000Z,5,5.5,9.09,2020-04-16T04:51:26.000Z,4,each,foetex,føtex Ndr. Fasanvej,de063c86-ef9b-4ab0-a855-9cee522e02ba
5712580297224,DKK,5.5,5712580297224,2020-04-18T21:59:59.000Z,2020-04-17T18:01:37.000Z,5,10.5,52.38,2020-04-17T15:16:16.000Z,1,each,foetex,føtex Ndr. Fasanvej,de063c86-ef9b-4ab0-a855-9cee522e02ba
5712580297477,DKK,11.95,5712580297477,2020-04-24T21:59:59.000Z,2020-04-17T18:01:37.000Z,12,23.95,49.9,2020-04-17T15:43:51.000Z,3,each,foetex,føtex Ndr. Fasanvej,de063c86-ef9b-4ab0-a855-9cee522e02ba
5712580297699,DKK,17.95,5712580297699,2020-06-16T21:59:59.000Z,2020-04-18T04:37:50.000Z,5,22.95,78.21,2020-04-18T04:37:36.000Z,1,each,foetex,føtex Ndr. Fasanvej,de063c86-ef9b-4ab0-a855-9cee522e02ba
5712580297705,DKK,19.95,5712580297705,2020-06-16T21:59:59.000Z,2020-04-18T04:40:16.000Z,5,24.95,79.96,2020-04-18T04:39:55.000Z,2,each,foetex,føtex Ndr. Fasanvej,de063c86-ef9b-4ab0-a855-9cee522e02ba
5712580297712,DKK,19.95,5712580297712,2020-06-16T21:59:59.000Z,2020-04-18T04:40:48.000Z,5,24.95,79.96,2020-04-18T04:40:21.000Z,3,each,foetex,føtex Ndr. Fasanvej,de063c86-ef9b-4ab0-a855-9cee522e02ba
5712580297729,DKK,14.95,5712580297729,2020-06-16T21:59:59.000Z,2020-04-18T04:41:21.000Z,5,19.95,74.94,2020-04-18T04:41:02.000Z,1,each,foetex,føtex Ndr. Fasanvej,de063c86-ef9b-4ab0-a855-9cee522e02ba
5712580297736,DKK,6.95,5712580297736,2020-06-16T21:59:59.000Z,2020-04-18T04:42:03.000Z,5,11.95,58.16,2020-04-18T04:41:25.000Z,1,each,foetex,føtex Ndr. Fasanvej,de063c86-ef9b-4ab0-a855-9cee522e02ba
5712580297743,DKK,17.95,5712580297743,2020-06-16T21:59:59.000Z,2020-04-18T04:42:03.000Z,5,22.95,78.21,2020-04-18T04:41:35.000Z,1,each,foetex,føtex Ndr. Fasanvej,de063c86-ef9b-4ab0-a855-9cee522e02ba
5712580297767,DKK,11.95,5712580297767,2020-06-16T21:59:59.000Z,2020-04-18T05:04:23.000Z,5,16.95,70.5,2020-04-18T05:03:45.000Z,2,each,foetex,føtex Ndr. Fasanvej,de063c86-ef9b-4ab0-a855-9cee522e02ba
5712580297781,DKK,14.95,5712580297781,2020-06-16T21:59:59.000Z,2020-04-18T05:04:23.000Z,5,19.95,74.94,2020-04-18T05:04:05.000Z,3,each,foetex,føtex Ndr. Fasanvej,de063c86-ef9b-4ab0-a855-9cee522e02ba
5712580297774,DKK,10,5712580297774,2020-06-16T21:59:59.000Z,2020-04-18T05:04:23.000Z,5,15,66.67,2020-04-18T05:03:54.000Z,1,each,foetex,føtex Ndr. Fasanvej,de063c86-ef9b-4ab0-a855-9cee522e02ba
5712580297750,DKK,2.5,5712580297750,2020-06-16T21:59:59.000Z,2020-04-18T06:03:43.000Z,5,7.5,33.33,2020-04-18T05:03:31.000Z,29,each,foetex,føtex Ndr. Fasanvej,de063c86-ef9b-4ab0-a855-9cee522e02ba
5712580297811,DKK,1.5,5712580297811,2020-06-16T21:59:59.000Z,2020-04-18T05:28:00.000Z,5,6.5,23.08,2020-04-18T05:27:42.000Z,4,each,foetex,føtex Ndr. Fasanvej,de063c86-ef9b-4ab0-a855-9cee522e02ba
5712580297828,DKK,5.5,5712580297828,2020-06-16T21:59:59.000Z,2020-04-18T07:03:42.000Z,5,10.5,52.38,2020-04-18T05:27:59.000Z,10,each,foetex,føtex Ndr. Fasanvej,de063c86-ef9b-4ab0-a855-9cee522e02ba
5712580298092,DKK,14.95,5712580298092,2020-06-16T21:59:59.000Z,2020-04-18T10:03:49.000Z,5,19.95,74.94,2020-04-18T06:04:59.000Z,3,each,foetex,føtex Ndr. Fasanvej,de063c86-ef9b-4ab0-a855-9cee522e02ba
5712580295350,DKK,14.95,5712580295350,2020-04-20T21:59:59.000Z,2020-04-18T08:18:50.000Z,5,19.95,74.94,2020-04-15T12:39:41.000Z,1,each,foetex,føtex Ndr. Fasanvej,de063c86-ef9b-4ab0-a855-9cee522e02ba
5712580297859,DKK,4.75,5712580297859,2020-06-16T21:59:59.000Z,2020-04-18T08:33:53.000Z,5,9.75,48.72,2020-04-18T05:38:40.000Z,3,each,foetex,føtex Ndr. Fasanvej,de063c86-ef9b-4ab0-a855-9cee522e02ba
5712580297842,DKK,17.95,5712580297842,2020-06-16T21:59:59.000Z,2020-04-18T08:48:46.000Z,5,22.95,78.21,2020-04-18T05:38:25.000Z,1,each,foetex,føtex Ndr. Fasanvej,de063c86-ef9b-4ab0-a855-9cee522e02ba
5712580297132,DKK,3.5,5712580297132,2020-04-22T21:59:59.000Z,2020-04-18T09:33:45.000Z,3,6.5,53.85,2020-04-17T15:02:36.000Z,5,each,foetex,føtex Ndr. Fasanvej,de063c86-ef9b-4ab0-a855-9cee522e02ba
5712580297835,DKK,14.95,5712580297835,2020-06-16T21:59:59.000Z,2020-04-18T10:03:49.000Z,5,19.95,74.94,2020-04-18T05:31:32.000Z,3,each,foetex,føtex Ndr. Fasanvej,de063c86-ef9b-4ab0-a855-9cee522e02ba
5712580297804,DKK,6.5,5712580297804,2020-06-16T21:59:59.000Z,2020-04-18T10:18:54.000Z,5,11.5,56.52,2020-04-18T05:10:25.000Z,27,each,foetex,føtex Ndr. Fasanvej,de063c86-ef9b-4ab0-a855-9cee522e02ba
2007502,DKK,11.36,2007502,2020-04-22T21:59:59.000Z,2020-04-18T10:43:48.000Z,9.29,20.65,55,2020-04-17T11:06:46.000Z,72.402,kg,foetex,føtex Frederiksberg,d5afe44f-91f5-45ff-9758-46c3ae29224b
5712580919263,DKK,9.95,5712580919263,2020-04-22T21:59:59.000Z,2020-04-17T13:19:49.000Z,5,14.95,66.56,2020-04-17T11:03:25.000Z,2,each,foetex,føtex Frederiksberg,d5afe44f-91f5-45ff-9758-46c3ae29224b
5712580916149,DKK,9.95,5712580916149,2020-04-20T21:59:59.000Z,2020-04-17T14:49:54.000Z,5,14.95,66.56,2020-04-16T09:49:17.000Z,2,each,foetex,føtex Frederiksberg,d5afe44f-91f5-45ff-9758-46c3ae29224b
5712580915333,DKK,7.95,5712580915333,2020-04-20T21:59:59.000Z,2020-04-17T08:19:38.000Z,5,12.95,61.39,2020-04-16T09:02:50.000Z,6,each,foetex,føtex Frederiksberg,d5afe44f-91f5-45ff-9758-46c3ae29224b
5712580909950,DKK,10.95,5712580909950,2020-04-18T21:59:59.000Z,2020-04-17T08:19:38.000Z,5,15.95,68.65,2020-04-14T09:20:08.000Z,2,each,foetex,føtex Frederiksberg,d5afe44f-91f5-45ff-9758-46c3ae29224b
5712580917689,DKK,16.95,5712580917689,2020-04-18T21:59:59.000Z,2020-04-17T08:49:44.000Z,6,22.95,73.86,2020-04-17T05:28:18.000Z,1,each,foetex,føtex Frederiksberg,d5afe44f-91f5-45ff-9758-46c3ae29224b
5712580919850,DKK,17.95,5712580919850,2020-04-25T21:59:59.000Z,2020-04-17T16:04:59.000Z,15,32.95,54.48,2020-04-17T12:17:51.000Z,1,each,foetex,føtex Frederiksberg,d5afe44f-91f5-45ff-9758-46c3ae29224b
